,titles,channel,total_views,video_link
65,Ford CEO Jim Farley: EV adoption comes down to charging infrastructure,CNBC,7.6K,https://www.youtube.com/watch?v=-PdztqjO2ow&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=66&pp=iAQB
66,"I think there is real value in Ford, says Jim Cramer",CNBC,23K,https://www.youtube.com/watch?v=-EVU4tK2dEk&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=67&pp=iAQB
67,"'I don't think Ford and Tesla are mutually exclusive', says Jim Cramer",CNBC,6.2K,https://www.youtube.com/watch?v=4wzOupQXY1E&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=68&pp=iAQB
68,Jim Cramer takes a bite out of Domino's stock,CNBC,4.9K,https://www.youtube.com/watch?v=Gs2kbI_0L0s&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=69&pp=iAQB
69,"What we need from the Fed is narrow transparency, says Jim Cramer",CNBC,1.1K,https://www.youtube.com/watch?v=0XszclLW4qE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=70&pp=iAQB
70,"The next stock market sell-off will be a 'bullish decline', says Jim Cramer",CNBC,8.3K,https://www.youtube.com/watch?v=W5UnXvGmXXw&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=71&pp=iAQB
71,"Lightning Round: Dominion Energy is a little to risky for me, says Jim Cramer",CNBC,4.4K,https://www.youtube.com/watch?v=hNzi7-uFfbg&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=72&pp=iAQB
72,"I would use any upcoming sell-off as a chance to get into the stock market, say Jim Cramer",CNBC,67K,https://www.youtube.com/watch?v=JQa-M3iAlOQ&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=73&pp=iAQB
73,"CAVA buyers are drawn in by FOMO, says Jim Cramer",CNBC,4.3K,https://www.youtube.com/watch?v=Lb5sE2lcnOI&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=74&pp=iAQB
74,Adobe CEO Shantanu Narayen says A.I. is 'going to make people so much more productive',CNBC,6.5K,https://www.youtube.com/watch?v=CO5bdbOjv_0&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=75&pp=iAQB
75,"Lightning Round: Microsoft has been very smart with its A.I. implementation, says Jim Cramer",CNBC,6.1K,https://www.youtube.com/watch?v=OgCESJEaZK8&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=76&pp=iAQB
76,"The only group that bull market buyers aren't buying right now is tech, says Jim Cramer",CNBC,59K,https://www.youtube.com/watch?v=FIx6ASmv7VE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=77&pp=iAQB
77,"AMD's new chips are bad news for China, says Jim Cramer",CNBC,6.8K,https://www.youtube.com/watch?v=Nzyq6jcSHkY&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=78&pp=iAQB
78,"It's going to be very hard for China to regain its preeminence in manufacturing, says Jim Cramer",CNBC,11K,https://www.youtube.com/watch?v=czTv6QRJhxA&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=79&pp=iAQB
79,"Lightning Round: Healthcare is a screaming buy right now, says Jim Cramer",CNBC,7.2K,https://www.youtube.com/watch?v=SbHUUYE3YBk&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=80&pp=iAQB
80,"We're the 'central nervous system' for data streaming, says Confluent CEO Jay Kreps",CNBC,5.7K,https://www.youtube.com/watch?v=rU_MV9HB92c&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=81&pp=iAQB
81,"I don't trust my fellow shareholders right now and you shouldn't either, says Jim Cramer",CNBC,54K,https://www.youtube.com/watch?v=gHOST1C09ec&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=82&pp=iAQB
82,"The Fed wants to kill inflation by killing wage growth, says Jim Cramer",CNBC,3.3K,https://www.youtube.com/watch?v=YYYFNFKuDPE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=83&pp=iAQB
83,"Lightning Round: Too much competition in the Fintech space for PayPal, says Jim Cramer",CNBC,5.7K,https://www.youtube.com/watch?v=fRHg1bjEJWw&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=84&pp=iAQB
84,"Those coming into the market now are late to the party, says Jim Cramer",CNBC,42K,https://www.youtube.com/watch?v=SnCm1WFS5Qc&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=85&pp=iAQB
85,"The market has been winning for months, but they were ugly wins, says Jim Cramer",CNBC,2.4K,https://www.youtube.com/watch?v=c6q5otDBwss&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=86&pp=iAQB
86,"'I expect Cava to roar' on IPO, says Jim Cramer",CNBC,3.6K,https://www.youtube.com/watch?v=P5FItqqmBRM&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=87&pp=iAQB
